epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,372.359,2.01418,1.0257,0.82056,0.80139,0.49505,0.60535,0.22044,2.11554,1.0281,0.7975,0.0005348,0.0005348,0.0005348
76,377.282,2.1058,1.0268,0.844,0.68442,0.4939,0.54917,0.22462,2.05394,1.0573,0.79663,0.000515,0.000515,0.000515
77,382.083,2.06436,1.02132,0.82495,0.62941,0.49505,0.51913,0.21008,2.0881,1.08473,0.79339,0.0004952,0.0004952,0.0004952
78,386.798,1.99131,1.05942,0.83411,0.57238,0.51485,0.5066,0.21458,2.05141,1.14404,0.7926,0.0004754,0.0004754,0.0004754
79,391.58,2.02013,0.99134,0.82476,0.59524,0.49505,0.56144,0.23272,2.04427,1.04737,0.78697,0.0004556,0.0004556,0.0004556
80,396.463,1.96053,0.9771,0.8336,0.56089,0.51485,0.54265,0.20887,2.00694,1.14297,0.78283,0.0004358,0.0004358,0.0004358
81,401.164,2.0635,1.11368,0.82032,0.53389,0.49505,0.50333,0.19032,2.16568,1.15773,0.79059,0.000416,0.000416,0.000416
82,405.962,1.946,0.93332,0.82155,0.65093,0.50495,0.56576,0.25389,1.92278,0.94573,0.78576,0.0003962,0.0003962,0.0003962
83,410.764,1.88167,0.89283,0.83585,0.69257,0.51302,0.59225,0.23506,1.98252,1.02957,0.78587,0.0003764,0.0003764,0.0003764
84,415.796,2.01673,1.02779,0.82225,0.82695,0.44554,0.5637,0.24285,2.02618,0.98888,0.78695,0.0003566,0.0003566,0.0003566
85,420.49,2.0342,0.96618,0.83007,0.85373,0.45545,0.58601,0.24794,1.84507,0.96082,0.78363,0.0003368,0.0003368,0.0003368
86,424.966,2.03448,0.96319,0.82341,0.74036,0.50495,0.58716,0.24865,2.1049,1.00026,0.78763,0.000317,0.000317,0.000317
87,429.47,1.92476,0.83709,0.83988,0.72916,0.53465,0.59173,0.25902,1.79769,0.92121,0.78424,0.0002972,0.0002972,0.0002972
88,434.03,1.96538,0.90385,0.82581,0.66235,0.48515,0.5694,0.23803,1.91047,0.98343,0.78223,0.0002774,0.0002774,0.0002774
89,438.562,1.96354,0.94267,0.81556,0.65115,0.44554,0.52168,0.23108,1.93332,1.02136,0.78368,0.0002576,0.0002576,0.0002576
90,443.179,1.89659,0.84198,0.80494,0.64334,0.49505,0.55946,0.24841,1.83351,1.03579,0.77943,0.0002378,0.0002378,0.0002378
